0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"(1329.1041392432917, 1414.74901374083)","(1329.1363747151624, 1414.7283295395994)","(1329.129757303117, 1414.7677236951577)","(1329.1071278715522, 1414.7401764176896)","(1329.1246999806679, 1414.727206709726)","(1329.1330934340172, 1414.7037068750224)","(1329.0922774846595, 1414.7170509698299)","(1329.0611024609636, 1414.763280805003)","(1329.0254475489908, 1414.7034341472618)","(1329.0627407261711, 1414.7545488439273)","(1329.0690269741349, 1414.7115500658358)","(1329.0920151151336, 1414.710349356753)","(1328.9979812474442, 1414.7324222337043)","(1329.0477137000917, 1414.6962428941256)","(1329.0943936691026, 1414.7993867595064)","(1329.0604276776994, 1414.759730487334)","(1329.0641370149363, 1414.752502809577)","(1329.0739356788054, 1414.6276412489883)","(1329.0517848498523, 1414.7395681649398)","(1329.0854445886284, 1414.7392825220318)","(1329.0517052868668, 1414.7115787154346)"
"(703.06135645776, 1033.3654167609907)","(703.0861027567065, 1033.3820928625555)","(703.0910652502494, 1033.3813264064313)","(703.0226600304737, 1033.302732884503)","(703.0280624227127, 1033.3782789207623)","(703.0046536636513, 1033.2898565949868)","(702.9769470673765, 1033.3602567119754)","(702.9812418606454, 1033.3988000440124)","(702.9564041464508, 1033.314448506957)","(702.9606383871431, 1033.3867855203614)","(702.9629695689357, 1033.3156510731112)","(703.0327622357169, 1033.2978671912892)","(702.948496516216, 1033.32984225141)","(702.8882718050861, 1033.273259064851)","(702.9445973025785, 1033.4344377688158)","(702.967881063999, 1033.4377356924128)","(702.9467200452161, 1033.3049599058293)","(702.9557244324254, 1033.1356670783139)","(702.9637700832637, 1033.3181504244585)","(702.944880925596, 1033.3229340369978)","(702.9291800749145, 1033.306685510558)"
"(593.8515316272337, 1211.705057640519)","(593.8901442252157, 1211.680884547784)","(593.8655417526106, 1211.7218464458977)","(593.7928805786934, 1211.6142379842631)","(593.7759690820823, 1211.6951295184385)","(593.7512524188919, 1211.5967053130967)","(593.7645376091979, 1211.6546277039556)","(593.7662320975345, 1211.7116587009825)","(593.7323265781399, 1211.5956376214951)","(593.752898266714, 1211.662298847288)","(593.7228923926518, 1211.620625071163)","(593.7897075697862, 1211.592613964285)","(593.715138538717, 1211.609425537436)","(593.6409713704252, 1211.6005510625475)","(593.7250478818985, 1211.7368960227745)","(593.7225646573685, 1211.7480745260948)","(593.7236997511455, 1211.632382051167)","(593.7127847076024, 1211.4580870810278)","(593.7222592321832, 1211.6521965056704)","(593.70939554966, 1211.622581207738)","(593.7200775050961, 1211.5911514892098)"
"(494.151365308882, 1028.2747043525414)","(494.1943172463938, 1028.2514428748943)","(494.23114885426037, 1028.2123848177055)","(494.2104693424847, 1028.1031740384349)","(494.24413937424254, 1028.1570641540984)","(494.1958002065374, 1028.0727346821232)","(494.1660276978986, 1028.1730196710046)","(494.19110526053856, 1028.2165849977164)","(494.13468540268843, 1028.1192660030672)","(494.1598132003217, 1028.202271706304)","(494.1222265962297, 1028.131474613037)","(494.20311874143715, 1028.101095625489)","(494.1453131040748, 1028.1411562788146)","(494.095443264671, 1028.0813353544556)","(494.16175925966866, 1028.256726672613)","(494.1535577302503, 1028.270485888797)","(494.1436352927304, 1028.1186059426043)","(494.13536671722693, 1027.946485289365)","(494.1484820591137, 1028.1371385614125)","(494.1411772587942, 1028.1529558456407)","(494.1425553019194, 1028.114874107366)"
"(388.6057874400268, 1202.9710115227617)","(388.6557377621226, 1202.9609517263445)","(388.61672032788016, 1202.9867778603807)","(388.5446287202142, 1202.8741188002386)","(388.5486927851131, 1202.940373521112)","(388.5322302519408, 1202.858710846824)","(388.5353291344117, 1202.8698055567727)","(388.5635298790641, 1202.9326634666522)","(388.5312510571414, 1202.8462081429886)","(388.5508339228518, 1202.9384303483644)","(388.52649140601704, 1202.8626506030519)","(388.59077389246, 1202.8555090419206)","(388.52585657860885, 1202.8703065331506)","(388.44302041214934, 1202.8405245701929)","(388.52532218303526, 1202.9440616397294)","(388.52882594702453, 1202.953271867893)","(388.52628246215505, 1202.8541251974193)","(388.5232331383289, 1202.7296863010085)","(388.54516984755764, 1202.9027779153512)","(388.4979831980182, 1202.8800810582745)","(388.47602270769164, 1202.8571088971933)"
"(189.34983845352778, 1194.6074166766687)","(189.36667689921478, 1194.6267741622773)","(189.34393093752135, 1194.652554211185)","(189.36789300385888, 1194.521331731057)","(189.3645392220115, 1194.5683488435748)","(189.34732165364153, 1194.5301799240897)","(189.36770788084786, 1194.5434888404932)","(189.3612545053411, 1194.575318448931)","(189.34019324849163, 1194.5425586001218)","(189.3420611750345, 1194.5486001590598)","(189.33998864760292, 1194.5231007265306)","(189.38117069949377, 1194.5033404133078)","(189.33555153009996, 1194.520018628946)","(189.2999659463785, 1194.5009273050543)","(189.34840012362886, 1194.5513298663977)","(189.33277495433595, 1194.5935108593455)","(189.34633714755466, 1194.5309746803848)","(189.35251780667596, 1194.4180953054424)","(189.3633889968252, 1194.524713439689)","(189.34269570062747, 1194.5238588702143)","(189.32070776545268, 1194.5120473621396)"
"(1438.5081601183101, 1237.4356608862583)","(1438.500676989589, 1237.4281845949554)","(1438.5204419059164, 1237.4346317105974)","(1438.5114741283849, 1237.3763138577908)","(1438.4865363322358, 1237.36899235521)","(1438.4742267060055, 1237.3410938495215)","(1438.4966339227371, 1237.375111707729)","(1438.4821784089336, 1237.3628911160051)","(1438.485315795511, 1237.361866046929)","(1438.4872946406376, 1237.3965321089597)","(1438.4850751443082, 1237.3652730925587)","(1438.4927383662841, 1237.3464775642735)","(1438.470180047563, 1237.3715017055015)","(1438.4740278708566, 1237.3596849059916)","(1438.4713580384398, 1237.379799313586)","(1438.485409004229, 1237.40850048317)","(1438.446245035012, 1237.3530387392689)","(1438.4765367919583, 1237.3193599712483)","(1438.462708667906, 1237.3536566056953)","(1438.4385169677437, 1237.3863198444444)","(1438.4889200848154, 1237.3704880156417)"
"(488.13162437677727, 1387.8571488919333)","(488.13387374539866, 1387.8617024900982)","(488.1266201129164, 1387.8555757922427)","(488.17388929342184, 1387.7222861645237)","(488.18952453700575, 1387.8102298929884)","(488.16292994795833, 1387.753104981647)","(488.1838560201538, 1387.750371326792)","(488.18995193956636, 1387.8021556830797)","(488.17456486644363, 1387.713196535328)","(488.16525621426626, 1387.80002218799)","(488.1538209824833, 1387.7177645865463)","(488.1878107447406, 1387.7063908539287)","(488.1438852838267, 1387.7416608946278)","(488.0893412970913, 1387.6948544567415)","(488.1420345173791, 1387.802900113072)","(488.1481405716032, 1387.8031096103373)","(488.1183555957283, 1387.7336590836533)","(488.1583895481624, 1387.6285416918536)","(488.1526513802368, 1387.771969838038)","(488.15016512870744, 1387.7431620172947)","(488.1467330747706, 1387.7235740364458)"
"(590.7753385697473, 1569.5828455026801)","(590.8024296630521, 1569.5535519229804)","(590.7938193271696, 1569.5799776205197)","(590.8322177659713, 1569.4827294228985)","(590.8200899130337, 1569.5061944348206)","(590.8104828408849, 1569.4477274763417)","(590.8099520693753, 1569.5097810790157)","(590.7947085158816, 1569.535277778027)","(590.7925645436076, 1569.4560908192575)","(590.7929327713103, 1569.5143119299228)","(590.7776370721533, 1569.448353292406)","(590.8147872655228, 1569.4427504411442)","(590.7550541447695, 1569.4609046372084)","(590.754263959509, 1569.4412194780634)","(590.7908553115843, 1569.5357317439466)","(590.8031973914407, 1569.5299991724278)","(590.7896827419233, 1569.4537313574801)","(590.7849807192621, 1569.3514245687845)","(590.7841613861024, 1569.4630047484989)","(590.7447816288939, 1569.487900659922)","(590.7726712205075, 1569.4186208881565)"
"(486.420972797561, 1738.7083330433475)","(486.4229883389594, 1738.7058445503692)","(486.41308695581944, 1738.6742311670705)","(486.41435418183966, 1738.6861369370988)","(486.424167991711, 1738.688008441833)","(486.42988005368227, 1738.6459942003978)","(486.4246728845854, 1738.6607200665526)","(486.4204805151265, 1738.6997101068505)","(486.3793518871961, 1738.6968419773118)","(486.3915145329977, 1738.6705636790784)","(486.3951705647241, 1738.6419662905078)","(486.40990084647706, 1738.6526736339433)","(486.3945247633614, 1738.6365682016142)","(486.34445922673945, 1738.6558287186538)","(486.40311507321644, 1738.6935856975701)","(486.4052432785497, 1738.7166250266139)","(486.38440923359457, 1738.657275658198)","(486.4106939243512, 1738.6047944961035)","(486.3853299315979, 1738.6598246891676)","(486.40263768024323, 1738.658643063578)","(486.37999723893836, 1738.6541138976402)"
